"voornaam","achternaam","initiaal","initnaam","partij","initiatieven","vragen","tussenkomsten","vrageninitiatieven","url"
"Imade","Annouri","I.","I. Annouri","Groen",19,113,192,132,"/vlaamse-volksvertegenwoordigers/imade-annouri"
"Björn","Anseeuw","B.","B. Anseeuw","N-VA",15,116,170,131,"/vlaamse-volksvertegenwoordigers/bjorn-anseeuw"
"Lionel","Bajart","L.","L. Bajart","Open Vld",15,213,198,228,"/vlaamse-volksvertegenwoordigers/lionel-bajart"
"Rob","Beenders","R.","R. Beenders","sp·a",46,274,239,320,"/vlaamse-volksvertegenwoordigers/rob-beenders"
"Jan","Bertels","J.","J. Bertels","sp·a",48,328,339,376,"/vlaamse-volksvertegenwoordigers/jan-bertels"
"Robrecht","Bothuyne","R.","R. Bothuyne","CD&V",75,1760,587,1835,"/vlaamse-volksvertegenwoordigers/robrecht-bothuyne"
"Karin","Brouwers","K.","K. Brouwers","CD&V",99,429,527,528,"/vlaamse-volksvertegenwoordigers/karin-brouwers"
"Ann","Brusseel","A.","A. Brusseel","Open Vld",74,1260,502,1334,"/vlaamse-volksvertegenwoordigers/ann-brusseel"
"Bart","Caron","B.","B. Caron","Groen",283,1140,1400,1423,"/vlaamse-volksvertegenwoordigers/bart-caron"
"Vera","Celis","V.","V. Celis","N-VA",50,606,284,656,"/vlaamse-volksvertegenwoordigers/vera-celis"
"Lode","Ceyssens","L.","L. Ceyssens","CD&V",57,332,444,389,"/vlaamse-volksvertegenwoordigers/lode-ceyssens"
"An","Christiaens","A.","A. Christiaens","CD&V",19,283,90,302,"/vlaamse-volksvertegenwoordigers/an-christiaens"
"Sonja","Claes","S.","S. Claes","CD&V",46,372,272,418,"/vlaamse-volksvertegenwoordigers/sonja-claes"
"Griet","Coppé","G.","G. Coppé","CD&V",29,854,156,883,"/vlaamse-volksvertegenwoordigers/griet-coppe"
"Paul","Cordy","P.","P. Cordy","N-VA",4,31,34,35,"/vlaamse-volksvertegenwoordigers/paul-cordy"
"Cathy","Coudyser","C.","C. Coudyser","N-VA",12,205,176,217,"/vlaamse-volksvertegenwoordigers/cathy-coudyser"
"Guy","D'haeseleer","G.","G. D'haeseleer","Vlaams Belang",28,150,9,178,"/vlaamse-volksvertegenwoordigers/guy-dhaeseleer"
"Rik","Daems","R.","R. Daems","Open Vld",25,65,143,90,"/vlaamse-volksvertegenwoordigers/rik-daems"
"Johan","Danen","J.","J. Danen","Groen",28,221,339,249,"/vlaamse-volksvertegenwoordigers/johan-danen"
"Koen","Daniëls","K.","K. Daniëls","N-VA",20,396,519,416,"/vlaamse-volksvertegenwoordigers/koen-daniels"
"Sabine","de Bethune","S.","S. de Bethune","CD&V",22,214,87,236,"/vlaamse-volksvertegenwoordigers/sabine-de-bethune"
"Piet","De Bruyn","P.","P. De Bruyn","N-VA",56,468,185,524,"/vlaamse-volksvertegenwoordigers/piet-de-bruyn"
"Mathias","De Clercq","M.","M. De Clercq","Open Vld",9,195,138,204,"/vlaamse-volksvertegenwoordigers/mathias-de-clercq"
"Herman","De Croo","H.","H. De Croo","Open Vld",24,27,281,51,"/vlaamse-volksvertegenwoordigers/herman-de-croo"
"Jean-Jacques","De Gucht","J.","J. De Gucht","Open Vld",97,262,172,359,"/vlaamse-volksvertegenwoordigers/jean-jacques-de-gucht"
"Dirk","de Kort","D.","D. de Kort","CD&V",105,679,687,784,"/vlaamse-volksvertegenwoordigers/dirk-de-kort"
"Kurt","De Loor","K.","K. De Loor","sp·a",85,289,282,374,"/vlaamse-volksvertegenwoordigers/kurt-de-loor"
"Marnic","De Meulemeester","M.","M. De Meulemeester","Open Vld",110,314,384,424,"/vlaamse-volksvertegenwoordigers/marnic-de-meulemeester"
"Ingeborg","De Meulemeester","I.","I. De Meulemeester","N-VA",11,193,108,204,"/vlaamse-volksvertegenwoordigers/ingeborg-de-meulemeester"
"Jos","De Meyer","J.","J. De Meyer","CD&V",289,4070,1180,4359,"/vlaamse-volksvertegenwoordigers/jos-de-meyer"
"Ortwin","Depoortere","O.","O. Depoortere","Vlaams Belang",17,215,54,232,"/vlaamse-volksvertegenwoordigers/ortwin-depoortere"
"Jenne","De Potter","J.","J. De Potter","CD&V",12,41,59,53,"/vlaamse-volksvertegenwoordigers/jenne-de-potter"
"Annick","De Ridder","A.","A. De Ridder","N-VA",170,977,585,1147,"/vlaamse-volksvertegenwoordigers/annick-de-ridder"
"Jo","De Ro","J.","J. De Ro","Open Vld",43,191,623,234,"/vlaamse-volksvertegenwoordigers/jo-de-ro"
"Gwenny","De Vroe","G.","G. De Vroe","Open Vld",118,893,432,1011,"/vlaamse-volksvertegenwoordigers/gwenny-de-vroe"
"Matthias","Diependaele","M.","M. Diependaele","N-VA",90,969,773,1059,"/vlaamse-volksvertegenwoordigers/matthias-diependaele"
"Bart","Dochy","B.","B. Dochy","CD&V",10,55,266,65,"/vlaamse-volksvertegenwoordigers/bart-dochy"
"Michel","Doomst","M.","M. Doomst","CD&V",65,361,187,426,"/vlaamse-volksvertegenwoordigers/michel-doomst"
"Jan","Durnez","J.","J. Durnez","CD&V",35,60,234,95,"/vlaamse-volksvertegenwoordigers/jan-durnez"
"Jelle","Engelbosch","J.","J. Engelbosch","N-VA",15,253,210,268,"/vlaamse-volksvertegenwoordigers/jelle-engelbosch"
"Martine","Fournier","M.","M. Fournier","CD&V",22,883,142,905,"/vlaamse-volksvertegenwoordigers/martine-fournier"
"Cindy","Franssen","C.","C. Franssen","CD&V",62,2730,157,2792,"/vlaamse-volksvertegenwoordigers/cindy-franssen"
"Caroline","Gennez","C.","C. Gennez","sp·a",84,223,347,307,"/vlaamse-volksvertegenwoordigers/caroline-gennez"
"Danielle","Godderis-T'Jonck","D.","D. Godderis-T'Jonck","N-VA",41,552,123,593,"/vlaamse-volksvertegenwoordigers/danielle-godderis-tjonck"
"Andries","Gryffroy","A.","A. Gryffroy","N-VA",29,265,326,294,"/vlaamse-volksvertegenwoordigers/andries-gryffroy"
"Kathleen","Helsen","K.","K. Helsen","CD&V",90,876,640,966,"/vlaamse-volksvertegenwoordigers/kathleen-helsen"
"Marc","Hendrickx","M.","M. Hendrickx","N-VA",63,2410,284,2473,"/vlaamse-volksvertegenwoordigers/marc-hendrickx"
"Michèle","Hostekint","M.","M. Hostekint","sp·a",111,528,228,639,"/vlaamse-volksvertegenwoordigers/michele-hostekint"
"Yamila","Idrissi","Y.","Y. Idrissi","sp·a",46,256,287,302,"/vlaamse-volksvertegenwoordigers/yamila-idrissi"
"Vera","Jans","V.","V. Jans","CD&V",71,1080,278,1151,"/vlaamse-volksvertegenwoordigers/vera-jans"
"Lies","Jans","L.","L. Jans","N-VA",96,907,415,1003,"/vlaamse-volksvertegenwoordigers/lies-jans"
"Chris","Janssens","C.","C. Janssens","Vlaams Belang",115,1750,302,1865,"/vlaamse-volksvertegenwoordigers/chris-janssens"
"Sofie","Joosen","S.","S. Joosen","N-VA",12,152,63,164,"/vlaamse-volksvertegenwoordigers/sofie-joosen"
"Ward","Kennes","W.","W. Kennes","CD&V",111,1060,532,1171,"/vlaamse-volksvertegenwoordigers/ward-kennes"
